home,home_lat,home_lon,other,o_lat,o_lon,reach,flights
EDDF,50.026706,8.55835,YMML,-37.670732,144.837898,Intercontinental,1
EDDM,48.353802,11.7861,BIKF,63.985001,-22.6056,Europe,3
EDDM,48.353802,11.7861,CYUL,45.467837,-73.742294,Intercontinental,2
EDDM,48.353802,11.7861,CYVR,49.193901,-123.183998,Intercontinental,2
EDDM,48.353802,11.7861,CYYZ,43.675935,-79.629421,Intercontinental,4
EDDM,48.353802,11.7861,EBBR,50.901402,4.48444,Europe,5
EDDM,48.353802,11.7861,EBCI,50.461963,4.459562,Europe,2
EDDM,48.353802,11.7861,EBKT,50.818878,3.209551,Europe,2
EDDM,48.353802,11.7861,EBLG,50.638574,5.443897,Europe,3
EDDM,48.353802,11.7861,EBMB,50.913419,4.491005,Europe,6
EDDM,48.353802,11.7861,EBNM,50.489705,4.769697,Europe,1
EDDM,48.353802,11.7861,EBST,50.790772,5.19958,Europe,1
EDDM,48.353802,11.7861,EDDB,52.361738,13.502341,Domestic,18
EDDM,48.353802,11.7861,EDDC,51.134123,13.767831,Domestic,6
EDDM,48.353802,11.7861,EDDF,50.026706,8.55835,Domestic,33
EDDM,48.353802,11.7861,EDDG,52.133816,7.688482,Domestic,5
EDDM,48.353802,11.7861,EDDH,53.630402,9.98823,Domestic,24
EDDM,48.353802,11.7861,EDDK,50.865898,7.14274,Domestic,10
EDDM,48.353802,11.7861,EDDL,51.289501,6.76678,Domestic,21
EDDM,48.353802,11.7861,EDDM,48.353802,11.7861,Domestic,2
EDDM,48.353802,11.7861,EDDP,51.420657,12.232705,Domestic,2
EDDM,48.353802,11.7861,EDDS,48.689899,9.22196,Domestic,8
EDDM,48.353802,11.7861,EDDV,52.461102,9.68508,Domestic,10
EDDM,48.353802,11.7861,EDDW,53.046786,8.78932,Domestic,10
EDDM,48.353802,11.7861,EDKB,50.76889,7.163333,Domestic,1
EDDM,48.353802,11.7861,EDKD,51.312459,7.704134,Domestic,1
EDDM,48.353802,11.7861,EDLE,51.402302,6.93733,Domestic,1
EDDM,48.353802,11.7861,EDMP,48.426109,12.345278,Domestic,1
EDDM,48.353802,11.7861,EDPI,48.456588,11.941624,Domestic,1
EDDM,48.353802,11.7861,EDXW,54.9132,8.34047,Domestic,2
EDDM,48.353802,11.7861,EETN,59.413246,24.83264,Europe,2
EDDM,48.353802,11.7861,EFHK,60.318363,24.963341,Europe,7
EDDM,48.353802,11.7861,EGBB,52.453899,-1.74803,Europe,2
EDDM,48.353802,11.7861,EGCC,53.349375,-2.279521,Europe,8
EDDM,48.353802,11.7861,EGGD,51.382326,-2.716453,Europe,2
EDDM,48.353802,11.7861,EGJJ,49.207901,-2.19551,Europe,2
EDDM,48.353802,11.7861,EGKK,51.148744,-0.185739,Europe,2
EDDM,48.353802,11.7861,EGLC,51.505299,0.055278,Europe,1
EDDM,48.353802,11.7861,EGLL,51.470748,-0.459909,Europe,25
EDDM,48.353802,11.7861,EGPH,55.950145,-3.372288,Europe,2
EDDM,48.353802,11.7861,EGPK,55.501499,-4.577182,Europe,1
EDDM,48.353802,11.7861,EHAM,52.308601,4.76389,Europe,18
EDDM,48.353802,11.7861,EIDW,53.428713,-6.262121,Europe,8
EDDM,48.353802,11.7861,EKCH,55.617900848389,12.656000137329,Europe,14
